wave,group_name,question,frequency,estimate,group_category,mid_date
Week41,Total,"Frequency of feeling nervous, anxious, or on edge",Not at all,91112230,total,1/4/2022
Week41,Total,"Frequency of feeling nervous, anxious, or on edge",Several days,70266093,total,1/4/2022
Week41,Total,"Frequency of feeling nervous, anxious, or on edge",More than half the days,24124163,total,1/4/2022
Week41,Total,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,33768285,total,1/4/2022
Week41,Total,"Frequency of feeling nervous, anxious, or on edge",Did not report,30994678,total,1/4/2022
Week41,Total,Frequency of not being able to stop or control worrying,Not at all,107204766,total,1/4/2022
Week41,Total,Frequency of not being able to stop or control worrying,Several days,63771252,total,1/4/2022
Week41,Total,Frequency of not being able to stop or control worrying,More than half the days,21018843,total,1/4/2022
Week41,Total,Frequency of not being able to stop or control worrying,Nearly every day,26949318,total,1/4/2022
Week41,Total,Frequency of not being able to stop or control worrying,Did not report,31321270,total,1/4/2022
Week41,18 - 29,"Frequency of feeling nervous, anxious, or on edge",Not at all,8785421,age,1/4/2022
Week41,18 - 29,"Frequency of feeling nervous, anxious, or on edge",Several days,11452670,age,1/4/2022
Week41,18 - 29,"Frequency of feeling nervous, anxious, or on edge",More than half the days,5250107,age,1/4/2022
Week41,18 - 29,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,8317986,age,1/4/2022
Week41,18 - 29,"Frequency of feeling nervous, anxious, or on edge",Did not report,8672937,age,1/4/2022
Week41,18 - 29,Frequency of not being able to stop or control worrying,Not at all,11794731,age,1/4/2022
Week41,18 - 29,Frequency of not being able to stop or control worrying,Several days,10755607,age,1/4/2022
Week41,18 - 29,Frequency of not being able to stop or control worrying,More than half the days,4974068,age,1/4/2022
Week41,18 - 29,Frequency of not being able to stop or control worrying,Nearly every day,6275177,age,1/4/2022
Week41,18 - 29,Frequency of not being able to stop or control worrying,Did not report,8679537,age,1/4/2022
Week41,30 - 39,"Frequency of feeling nervous, anxious, or on edge",Not at all,12394968,age,1/4/2022
Week41,30 - 39,"Frequency of feeling nervous, anxious, or on edge",Several days,14671974,age,1/4/2022
Week41,30 - 39,"Frequency of feeling nervous, anxious, or on edge",More than half the days,5459148,age,1/4/2022
Week41,30 - 39,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,7994005,age,1/4/2022
Week41,30 - 39,"Frequency of feeling nervous, anxious, or on edge",Did not report,6369108,age,1/4/2022
Week41,30 - 39,Frequency of not being able to stop or control worrying,Not at all,16487696,age,1/4/2022
Week41,30 - 39,Frequency of not being able to stop or control worrying,Several days,12402078,age,1/4/2022
Week41,30 - 39,Frequency of not being able to stop or control worrying,More than half the days,5162456,age,1/4/2022
Week41,30 - 39,Frequency of not being able to stop or control worrying,Nearly every day,6430649,age,1/4/2022
Week41,30 - 39,Frequency of not being able to stop or control worrying,Did not report,6406325,age,1/4/2022
Week41,40 - 49,"Frequency of feeling nervous, anxious, or on edge",Not at all,13539351,age,1/4/2022
Week41,40 - 49,"Frequency of feeling nervous, anxious, or on edge",Several days,11591873,age,1/4/2022
Week41,40 - 49,"Frequency of feeling nervous, anxious, or on edge",More than half the days,4683145,age,1/4/2022
Week41,40 - 49,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,6377570,age,1/4/2022
Week41,40 - 49,"Frequency of feeling nervous, anxious, or on edge",Did not report,5191540,age,1/4/2022
Week41,40 - 49,Frequency of not being able to stop or control worrying,Not at all,16078090,age,1/4/2022
Week41,40 - 49,Frequency of not being able to stop or control worrying,Several days,11104437,age,1/4/2022
Week41,40 - 49,Frequency of not being able to stop or control worrying,More than half the days,3732977,age,1/4/2022
Week41,40 - 49,Frequency of not being able to stop or control worrying,Nearly every day,5125214,age,1/4/2022
Week41,40 - 49,Frequency of not being able to stop or control worrying,Did not report,5342761,age,1/4/2022
Week41,50 - 59,"Frequency of feeling nervous, anxious, or on edge",Not at all,16677898,age,1/4/2022
Week41,50 - 59,"Frequency of feeling nervous, anxious, or on edge",Several days,12122885,age,1/4/2022
Week41,50 - 59,"Frequency of feeling nervous, anxious, or on edge",More than half the days,3780387,age,1/4/2022
Week41,50 - 59,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,5257765,age,1/4/2022
Week41,50 - 59,"Frequency of feeling nervous, anxious, or on edge",Did not report,4516397,age,1/4/2022
Week41,50 - 59,Frequency of not being able to stop or control worrying,Not at all,18608721,age,1/4/2022
Week41,50 - 59,Frequency of not being able to stop or control worrying,Several days,11403730,age,1/4/2022
Week41,50 - 59,Frequency of not being able to stop or control worrying,More than half the days,3236868,age,1/4/2022
Week41,50 - 59,Frequency of not being able to stop or control worrying,Nearly every day,4575283,age,1/4/2022
Week41,50 - 59,Frequency of not being able to stop or control worrying,Did not report,4530731,age,1/4/2022
Week41,60 - 69,"Frequency of feeling nervous, anxious, or on edge",Not at all,20836180,age,1/4/2022
Week41,60 - 69,"Frequency of feeling nervous, anxious, or on edge",Several days,12387121,age,1/4/2022
Week41,60 - 69,"Frequency of feeling nervous, anxious, or on edge",More than half the days,3179228,age,1/4/2022
Week41,60 - 69,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,4236187,age,1/4/2022
Week41,60 - 69,"Frequency of feeling nervous, anxious, or on edge",Did not report,4167152,age,1/4/2022
Week41,60 - 69,Frequency of not being able to stop or control worrying,Not at all,23530648,age,1/4/2022
Week41,60 - 69,Frequency of not being able to stop or control worrying,Several days,11203290,age,1/4/2022
Week41,60 - 69,Frequency of not being able to stop or control worrying,More than half the days,2768324,age,1/4/2022
Week41,60 - 69,Frequency of not being able to stop or control worrying,Nearly every day,3099353,age,1/4/2022
Week41,60 - 69,Frequency of not being able to stop or control worrying,Did not report,4204252,age,1/4/2022
Week41,70 - 79,"Frequency of feeling nervous, anxious, or on edge",Not at all,14611642,age,1/4/2022
Week41,70 - 79,"Frequency of feeling nervous, anxious, or on edge",Several days,6684479,age,1/4/2022
Week41,70 - 79,"Frequency of feeling nervous, anxious, or on edge",More than half the days,1373825,age,1/4/2022
Week41,70 - 79,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,1299487,age,1/4/2022
Week41,70 - 79,"Frequency of feeling nervous, anxious, or on edge",Did not report,1576796,age,1/4/2022
Week41,70 - 79,Frequency of not being able to stop or control worrying,Not at all,16152688,age,1/4/2022
Week41,70 - 79,Frequency of not being able to stop or control worrying,Several days,5665751,age,1/4/2022
Week41,70 - 79,Frequency of not being able to stop or control worrying,More than half the days,841535,age,1/4/2022
Week41,70 - 79,Frequency of not being able to stop or control worrying,Nearly every day,1256805,age,1/4/2022
Week41,70 - 79,Frequency of not being able to stop or control worrying,Did not report,1629450,age,1/4/2022
Week41,80 and above,"Frequency of feeling nervous, anxious, or on edge",Not at all,4266770,age,1/4/2022
Week41,80 and above,"Frequency of feeling nervous, anxious, or on edge",Several days,1355091,age,1/4/2022
Week41,80 and above,"Frequency of feeling nervous, anxious, or on edge",More than half the days,398322,age,1/4/2022
Week41,80 and above,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,285286,age,1/4/2022
Week41,80 and above,"Frequency of feeling nervous, anxious, or on edge",Did not report,500748,age,1/4/2022
Week41,80 and above,Frequency of not being able to stop or control worrying,Not at all,4552193,age,1/4/2022
Week41,80 and above,Frequency of not being able to stop or control worrying,Several days,1236359,age,1/4/2022
Week41,80 and above,Frequency of not being able to stop or control worrying,More than half the days,302614,age,1/4/2022
Week41,80 and above,Frequency of not being able to stop or control worrying,Nearly every day,186837,age,1/4/2022
Week41,80 and above,Frequency of not being able to stop or control worrying,Did not report,528213,age,1/4/2022
Week41,Male,"Frequency of feeling nervous, anxious, or on edge",Not at all,50791804,sex_at_birth,1/4/2022
Week41,Male,"Frequency of feeling nervous, anxious, or on edge",Several days,31599758,sex_at_birth,1/4/2022
Week41,Male,"Frequency of feeling nervous, anxious, or on edge",More than half the days,9849874,sex_at_birth,1/4/2022
Week41,Male,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,13991801,sex_at_birth,1/4/2022
Week41,Male,"Frequency of feeling nervous, anxious, or on edge",Did not report,14845037,sex_at_birth,1/4/2022
Week41,Male,Frequency of not being able to stop or control worrying,Not at all,58782310,sex_at_birth,1/4/2022
Week41,Male,Frequency of not being able to stop or control worrying,Several days,27573590,sex_at_birth,1/4/2022
Week41,Male,Frequency of not being able to stop or control worrying,More than half the days,8705865,sex_at_birth,1/4/2022
Week41,Male,Frequency of not being able to stop or control worrying,Nearly every day,10994413,sex_at_birth,1/4/2022
Week41,Male,Frequency of not being able to stop or control worrying,Did not report,15022096,sex_at_birth,1/4/2022
Week41,Female,"Frequency of feeling nervous, anxious, or on edge",Not at all,40320425,sex_at_birth,1/4/2022
Week41,Female,"Frequency of feeling nervous, anxious, or on edge",Several days,38666335,sex_at_birth,1/4/2022
Week41,Female,"Frequency of feeling nervous, anxious, or on edge",More than half the days,14274289,sex_at_birth,1/4/2022
Week41,Female,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,19776484,sex_at_birth,1/4/2022
Week41,Female,"Frequency of feeling nervous, anxious, or on edge",Did not report,16149641,sex_at_birth,1/4/2022
Week41,Female,Frequency of not being able to stop or control worrying,Not at all,48422455,sex_at_birth,1/4/2022
Week41,Female,Frequency of not being able to stop or control worrying,Several days,36197662,sex_at_birth,1/4/2022
Week41,Female,Frequency of not being able to stop or control worrying,More than half the days,12312978,sex_at_birth,1/4/2022
Week41,Female,Frequency of not being able to stop or control worrying,Nearly every day,15954905,sex_at_birth,1/4/2022
Week41,Female,Frequency of not being able to stop or control worrying,Did not report,16299174,sex_at_birth,1/4/2022
Week41,Cisgender male,"Frequency of feeling nervous, anxious, or on edge",Not at all,49581452,gender,1/4/2022
Week41,Cisgender male,"Frequency of feeling nervous, anxious, or on edge",Several days,30715094,gender,1/4/2022
Week41,Cisgender male,"Frequency of feeling nervous, anxious, or on edge",More than half the days,9604576,gender,1/4/2022
Week41,Cisgender male,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,13085442,gender,1/4/2022
Week41,Cisgender male,"Frequency of feeling nervous, anxious, or on edge",Did not report,13665746,gender,1/4/2022
Week41,Cisgender male,Frequency of not being able to stop or control worrying,Not at all,57348800,gender,1/4/2022
Week41,Cisgender male,Frequency of not being able to stop or control worrying,Several days,26907556,gender,1/4/2022
Week41,Cisgender male,Frequency of not being able to stop or control worrying,More than half the days,8426746,gender,1/4/2022
Week41,Cisgender male,Frequency of not being able to stop or control worrying,Nearly every day,10222548,gender,1/4/2022
Week41,Cisgender male,Frequency of not being able to stop or control worrying,Did not report,13746661,gender,1/4/2022
Week41,Cisgender female,"Frequency of feeling nervous, anxious, or on edge",Not at all,39137847,gender,1/4/2022
Week41,Cisgender female,"Frequency of feeling nervous, anxious, or on edge",Several days,37841878,gender,1/4/2022
Week41,Cisgender female,"Frequency of feeling nervous, anxious, or on edge",More than half the days,13507291,gender,1/4/2022
Week41,Cisgender female,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,18767152,gender,1/4/2022
Week41,Cisgender female,"Frequency of feeling nervous, anxious, or on edge",Did not report,14887187,gender,1/4/2022
Week41,Cisgender female,Frequency of not being able to stop or control worrying,Not at all,46923257,gender,1/4/2022
Week41,Cisgender female,Frequency of not being able to stop or control worrying,Several days,35409926,gender,1/4/2022
Week41,Cisgender female,Frequency of not being able to stop or control worrying,More than half the days,11716490,gender,1/4/2022
Week41,Cisgender female,Frequency of not being able to stop or control worrying,Nearly every day,15079834,gender,1/4/2022
Week41,Cisgender female,Frequency of not being able to stop or control worrying,Did not report,15011848,gender,1/4/2022
Week41,Transgender,"Frequency of feeling nervous, anxious, or on edge",Not at all,537277,gender,1/4/2022
Week41,Transgender,"Frequency of feeling nervous, anxious, or on edge",Several days,501090,gender,1/4/2022
Week41,Transgender,"Frequency of feeling nervous, anxious, or on edge",More than half the days,270627,gender,1/4/2022
Week41,Transgender,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,702432,gender,1/4/2022
Week41,Transgender,"Frequency of feeling nervous, anxious, or on edge",Did not report,195914,gender,1/4/2022
Week41,Transgender,Frequency of not being able to stop or control worrying,Not at all,705573,gender,1/4/2022
Week41,Transgender,Frequency of not being able to stop or control worrying,Several days,451140,gender,1/4/2022
Week41,Transgender,Frequency of not being able to stop or control worrying,More than half the days,287634,gender,1/4/2022
Week41,Transgender,Frequency of not being able to stop or control worrying,Nearly every day,571306,gender,1/4/2022
Week41,Transgender,Frequency of not being able to stop or control worrying,Did not report,191688,gender,1/4/2022
Week41,None of these,"Frequency of feeling nervous, anxious, or on edge",Not at all,828134,gender,1/4/2022
Week41,None of these,"Frequency of feeling nervous, anxious, or on edge",Several days,666396,gender,1/4/2022
Week41,None of these,"Frequency of feeling nervous, anxious, or on edge",More than half the days,565403,gender,1/4/2022
Week41,None of these,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,935715,gender,1/4/2022
Week41,None of these,"Frequency of feeling nervous, anxious, or on edge",Did not report,626373,gender,1/4/2022
Week41,None of these,Frequency of not being able to stop or control worrying,Not at all,999033,gender,1/4/2022
Week41,None of these,Frequency of not being able to stop or control worrying,Several days,599101,gender,1/4/2022
Week41,None of these,Frequency of not being able to stop or control worrying,More than half the days,480757,gender,1/4/2022
Week41,None of these,Frequency of not being able to stop or control worrying,Nearly every day,824963,gender,1/4/2022
Week41,None of these,Frequency of not being able to stop or control worrying,Did not report,718167,gender,1/4/2022
Week41,Did not report,"Frequency of feeling nervous, anxious, or on edge",Not at all,1027520,gender,1/4/2022
Week41,Did not report,"Frequency of feeling nervous, anxious, or on edge",Several days,541634,gender,1/4/2022
Week41,Did not report,"Frequency of feeling nervous, anxious, or on edge",More than half the days,176265,gender,1/4/2022
Week41,Did not report,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,277544,gender,1/4/2022
Week41,Did not report,"Frequency of feeling nervous, anxious, or on edge",Did not report,1619458,gender,1/4/2022
Week41,Did not report,Frequency of not being able to stop or control worrying,Not at all,1228103,gender,1/4/2022
Week41,Did not report,Frequency of not being able to stop or control worrying,Several days,403529,gender,1/4/2022
Week41,Did not report,Frequency of not being able to stop or control worrying,More than half the days,107217,gender,1/4/2022
Week41,Did not report,Frequency of not being able to stop or control worrying,Nearly every day,250668,gender,1/4/2022
Week41,Did not report,Frequency of not being able to stop or control worrying,Did not report,1652905,gender,1/4/2022
